gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01010	AT1G01010.1	1688.00	60.00	3.24
AT1G01020	AT1G01020.1,AT1G01020.2,AT1G01020.3,AT1G01020.4,AT1G01020.5,AT1G01020.6	1154.91	176.99	14.13
AT1G01030	AT1G01030.1,AT1G01030.2	1905.00	34.96	1.67
AT1G01040	AT1G01040.1,AT1G01040.2	5937.89	661.00	10.00
AT1G01050	AT1G01050.1,AT1G01050.2	970.78	1244.01	118.91
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5,AT1G01060.6,AT1G01060.7,AT1G01060.8	2364.83	10.00	0.38
AT1G01070	AT1G01070.1,AT1G01070.2	1476.72	223.93	13.89
AT1G01080	AT1G01080.1,AT1G01080.2,AT1G01080.3	1401.90	692.00	45.26
AT1G01090	AT1G01090.1	1896.00	1341.00	64.40
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	587.59	1856.32	300.81
AT1G01110	AT1G01110.1,AT1G01110.2	2056.65	88.00	3.89
AT1G01120	AT1G01120.1	2052.00	277.00	12.27
AT1G01130	AT1G01130.1	375.00	20.00	5.28
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	1697.88	1181.00	63.48
AT1G01150	AT1G01150.1,AT1G01150.2,AT1G01150.3	1228.00	2.00	0.15
AT1G01160	AT1G01160.1,AT1G01160.2	1050.37	775.98	68.35
AT1G01170	AT1G01170.1,AT1G01170.2	514.48	717.00	133.96
AT1G01180	AT1G01180.1	1456.00	174.00	10.95
AT1G01190	AT1G01190.1,AT1G01190.2	1690.00	20.00	1.08
AT1G01200	AT1G01200.1	1207.00	12.00	0.92
AT1G01210	AT1G01210.1,AT1G01210.2,AT1G01210.3	704.38	193.73	25.90
AT1G01220	AT1G01220.1,AT1G01220.2,AT1G01220.3,AT1G01220.4,AT1G01220.5,AT1G01220.6,AT1G01220.7,AT1G01220.8	3521.67	329.70	8.45
AT1G01225	AT1G01225.1	1077.00	30.00	2.57
AT1G01230	AT1G01230.1	876.00	271.00	28.83
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3,AT1G01240.4,AT1G01240.5	1525.31	462.00	27.71
AT1G01250	AT1G01250.1	891.00	39.00	4.08
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	2412.43	138.00	5.19
AT1G01280	AT1G01280.1	1602.00	39.00	2.22
AT1G01290	AT1G01290.1,AT1G01290.2	1505.64	189.00	11.49
AT1G01300	AT1G01300.1	2062.00	1516.00	66.84
AT1G01310	AT1G01310.1	977.00	1.00	0.09
AT1G01320	AT1G01320.1,AT1G01320.2,AT1G01320.3	6039.66	4869.00	72.43
