gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01010	AT1G01010.1	1688.00	51.00	2.76
AT1G01020	AT1G01020.1,AT1G01020.2,AT1G01020.3,AT1G01020.4,AT1G01020.5,AT1G01020.6	1166.31	192.00	15.21
AT1G01030	AT1G01030.1,AT1G01030.2	1905.00	23.00	1.10
AT1G01040	AT1G01040.1,AT1G01040.2	6047.70	493.00	7.34
AT1G01050	AT1G01050.1,AT1G01050.2	994.00	1037.54	97.01
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5,AT1G01060.6,AT1G01060.7,AT1G01060.8	2641.00	9.00	0.31
AT1G01070	AT1G01070.1,AT1G01070.2	1504.04	83.00	5.06
AT1G01080	AT1G01080.1,AT1G01080.2,AT1G01080.3	1369.90	901.00	60.49
AT1G01090	AT1G01090.1	1896.00	1625.00	78.23
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	588.66	1614.75	261.80
AT1G01110	AT1G01110.1,AT1G01110.2	2044.00	39.00	1.74
AT1G01120	AT1G01120.1	2052.00	260.00	11.55
AT1G01130	AT1G01130.1	375.00	18.00	4.76
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	1698.35	1067.00	57.48
AT1G01160	AT1G01160.1,AT1G01160.2	1054.10	575.00	50.59
AT1G01170	AT1G01170.1,AT1G01170.2	514.68	679.00	127.12
AT1G01180	AT1G01180.1	1456.00	155.00	9.78
AT1G01190	AT1G01190.1,AT1G01190.2	1669.00	20.00	1.10
AT1G01200	AT1G01200.1	1207.00	6.00	0.46
AT1G01210	AT1G01210.1,AT1G01210.2,AT1G01210.3	697.45	125.87	17.05
AT1G01220	AT1G01220.1,AT1G01220.2,AT1G01220.3,AT1G01220.4,AT1G01220.5,AT1G01220.6,AT1G01220.7,AT1G01220.8	3493.56	298.23	7.72
AT1G01225	AT1G01225.1	1077.00	31.00	2.67
AT1G01230	AT1G01230.1	876.00	276.00	29.43
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3,AT1G01240.4,AT1G01240.5	1532.41	372.00	22.26
AT1G01250	AT1G01250.1	891.00	8.00	0.84
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	2462.38	115.00	4.24
AT1G01280	AT1G01280.1	1602.00	5.00	0.29
AT1G01290	AT1G01290.1,AT1G01290.2	1477.06	179.00	11.12
AT1G01300	AT1G01300.1	2062.00	963.00	42.56
AT1G01310	AT1G01310.1	977.00	2.00	0.19
AT1G01320	AT1G01320.1,AT1G01320.2,AT1G01320.3	6031.36	4031.00	60.20
AT1G01340	AT1G01340.1,AT1G01340.2	2484.29	167.00	6.11
AT1G01350	AT1G01350.1	1434.00	171.84	11.01
AT1G01355	AT1G01355.1,AT1G01355.2,AT1G01355.3	783.00	5.00	0.60
AT1G01360	AT1G01360.1	1179.00	121.00	9.48
AT1G01370	AT1G01370.1,AT1G01370.2,AT1G01370.3,AT1G01370.4	1047.67	66.00	5.84
AT1G01380	AT1G01380.1,AT1G01380.2,AT1G01380.3	854.00	5.00	0.55
AT1G01390	AT1G01390.1,AT1G01390.2	1789.00	26.00	1.33
AT1G01420	AT1G01420.1,AT1G01420.2	1661.29	46.00	2.53
AT1G01430	AT1G01430.1	2134.00	489.00	20.87
AT1G01440	AT1G01440.1	2830.00	250.00	8.01
AT1G01450	AT1G01450.1	1413.00	115.00	7.48
AT1G01470	AT1G01470.1	1348.00	1224.00	83.55
AT1G01480	AT1G01480.1,AT1G01480.2	1876.54	13.00	0.63
AT1G01490	AT1G01490.1,AT1G01490.2,AT1G01490.3,AT1G01490.4	1566.65	1069.00	62.54
AT1G01500	AT1G01500.1	1773.00	218.00	11.24
AT1G01510	AT1G01510.1	2637.00	357.00	12.29
AT1G01520	AT1G01520.1,AT1G01520.2,AT1G01520.3,AT1G01520.4,AT1G01520.5	1349.00	2.00	0.14
AT1G01530	AT1G01530.1	758.00	1.00	0.12
AT1G01540	AT1G01540.1,AT1G01540.2	1960.66	889.00	41.36
AT1G01550	AT1G01550.1,AT1G01550.2	1581.68	1379.00	79.89
AT1G01560	AT1G01560.1,AT1G01560.2,AT1G01560.3,AT1G01560.4	1611.21	114.00	6.48
AT1G01570	AT1G01570.1,AT1G01570.2	1612.06	9.00	0.51
AT1G01580	AT1G01580.1,AT1G01580.2	2635.00	9.00	0.31
AT1G01590	AT1G01590.1	2624.00	6.00	0.21
AT1G01600	AT1G01600.1	2323.00	19.02	0.74
AT1G01610	AT1G01610.1	1916.00	230.00	10.96
AT1G01620	AT1G01620.1,AT1G01620.2	1333.42	3098.00	213.85
AT1G01630	AT1G01630.1	1479.00	481.00	29.85
AT1G01640	AT1G01640.1,AT1G01640.2	1118.26	125.00	10.34
AT1G01650	AT1G01650.1,AT1G01650.2,AT1G01650.3,AT1G01650.4	2237.10	711.00	28.92
AT1G01660	AT1G01660.1,AT1G01660.2	1811.41	17.00	0.86
AT1G01670	AT1G01670.1,AT1G01670.2,AT1G01670.3	1453.19	42.00	2.65
AT1G01680	AT1G01680.1	1187.00	13.00	1.01
AT1G01690	AT1G01690.1,AT1G01690.2,AT1G01690.3	1695.00	54.00	2.91
AT1G01695	AT1G01695.1	1658.00	11.00	0.61
AT1G01700	AT1G01700.1,AT1G01700.2,AT1G01700.3,AT1G01700.4,AT1G01700.5	1680.34	53.00	2.89
AT1G01710	AT1G01710.1	1701.00	454.00	24.42
AT1G01715	AT1G01715.1,AT1G01715.2	679.08	35.00	4.88
AT1G01720	AT1G01720.1	1653.00	360.00	19.94
AT1G01725	AT1G01725.1	537.00	93.00	16.63
AT1G01730	AT1G01730.1	1197.00	310.00	23.91
AT1G01740	AT1G01740.1,AT1G01740.2,AT1G01740.3,AT1G01740.4,AT1G01740.5	1750.20	66.00	3.45
AT1G01750	AT1G01750.1,AT1G01750.2	842.81	11.00	1.22
AT1G01760	AT1G01760.1,AT1G01760.2,AT1G01760.3,AT1G01760.4	1378.50	40.00	2.67
AT1G01770	AT1G01770.1	2377.00	276.00	10.56
AT1G01780	AT1G01780.1	939.00	185.00	18.35
AT1G01790	AT1G01790.1,AT1G01790.2	4241.48	938.00	19.97
AT1G01800	AT1G01800.1,AT1G01800.2	1138.26	602.00	48.91
AT1G01810	AT1G01810.1	653.00	5.00	0.73
AT1G01820	AT1G01820.1	1262.00	1156.00	84.45
AT1G01830	AT1G01830.1,AT1G01830.2,AT1G01830.3	2316.30	385.00	15.12
AT1G01840	AT1G01840.1	822.00	33.00	3.76
AT1G01860	AT1G01860.1,AT1G01860.2,AT1G01860.3,AT1G01860.4,AT1G01860.5	1324.74	119.00	8.27
AT1G01880	AT1G01880.1,AT1G01880.2,AT1G01880.3,AT1G01880.4	1733.84	17.00	0.90
AT1G01900	AT1G01900.1	2607.00	42.00	1.46
AT1G01910	AT1G01910.1,AT1G01910.2,AT1G01910.3,AT1G01910.4,AT1G01910.5	1387.78	509.00	33.72
AT1G01920	AT1G01920.1,AT1G01920.2,AT1G01920.3,AT1G01920.4,AT1G01920.5	1924.94	202.00	9.58
AT1G01930	AT1G01930.1	2101.00	154.00	6.68
AT1G01940	AT1G01940.1	877.00	214.00	22.79
AT1G01950	AT1G01950.1,AT1G01950.2,AT1G01950.3,AT1G01950.4	2979.08	171.00	5.20
AT1G01960	AT1G01960.1	5825.00	1189.00	18.39
AT1G01970	AT1G01970.1	1710.00	265.00	14.18
AT1G01990	AT1G01990.1	1483.00	349.00	21.60
AT1G02000	AT1G02000.1	2088.00	113.00	4.93
AT1G02010	AT1G02010.1,AT1G02010.2,AT1G02010.3,AT1G02010.4,AT1G02010.5,AT1G02010.6	2227.05	122.00	4.99
AT1G02020	AT1G02020.1,AT1G02020.2,AT1G02020.3	2398.32	233.00	8.83
AT1G02030	AT1G02030.1	2135.00	3.00	0.13
AT1G02050	AT1G02050.1	1540.00	113.00	6.73
AT1G02060	AT1G02060.1	2225.00	66.00	2.70
AT1G02065	AT1G02065.1,AT1G02065.2	1770.26	131.00	6.76
AT1G02067	AT1G02067.1	222.00	30.00	14.48
AT1G02070	AT1G02070.1	789.00	18.00	2.14
AT1G02080	AT1G02080.1,AT1G02080.2,AT1G02080.3	7483.29	1433.00	17.23
AT1G02090	AT1G02090.1,AT1G02090.2,AT1G02090.3	1271.72	285.00	20.66
AT1G02100	AT1G02100.1,AT1G02100.2,AT1G02100.3	1366.28	461.00	31.04
AT1G02110	AT1G02110.1	2314.00	366.00	14.39
AT1G02120	AT1G02120.1,AT1G02120.2,AT1G02120.3	2162.03	1123.00	47.30
AT1G02130	AT1G02130.1	1110.00	580.99	48.45
AT1G02140	AT1G02140.1	875.00	868.00	92.67
AT1G02145	AT1G02145.1,AT1G02145.2,AT1G02145.3,AT1G02145.4	1659.49	236.00	13.02
AT1G02150	AT1G02150.1	1979.00	1406.00	64.80
AT1G02160	AT1G02160.1,AT1G02160.2	529.80	199.00	36.11
AT1G02170	AT1G02170.1	1451.00	640.00	40.51
AT1G02180	AT1G02180.1	922.00	49.00	4.95
AT1G02190	AT1G02190.1,AT1G02190.2	2195.00	74.00	3.07
AT1G02205	AT1G02205.1,AT1G02205.2,AT1G02205.3,AT1G02205.4,AT1G02205.5	2218.10	469.00	19.25
AT1G02220	AT1G02220.1	1590.00	21.00	1.21
AT1G02230	AT1G02230.1	1436.00	2.00	0.13
AT1G02260	AT1G02260.1,AT1G02260.2	2504.90	290.00	10.52
AT1G02270	AT1G02270.1,AT1G02270.2	1737.00	267.00	14.06
AT1G02280	AT1G02280.1,AT1G02280.2	1203.96	699.00	53.60
AT1G02290	AT1G02290.1	1767.00	159.00	8.23
AT1G02300	AT1G02300.1	1464.00	373.30	23.41
AT1G02305	AT1G02305.1	1407.00	1775.70	115.99
AT1G02310	AT1G02310.1,AT1G02310.2	1390.00	11.00	0.73
AT1G02330	AT1G02330.1	1193.00	170.00	13.16
AT1G02335	AT1G02335.1	990.00	9.00	0.84
AT1G02340	AT1G02340.1,AT1G02340.2	1391.00	30.00	1.98
AT1G02350	AT1G02350.1	423.00	15.00	3.47
AT1G02360	AT1G02360.1,AT1G02360.2,AT1G02360.3	1118.00	28.00	2.32
AT1G02370	AT1G02370.1	1986.00	72.00	3.31
AT1G02380	AT1G02380.1	1317.00	26.00	1.82
AT1G02390	AT1G02390.1	2074.00	50.00	2.20
AT1G02400	AT1G02400.1,AT1G02400.2	1414.00	34.00	2.21
AT1G02405	AT1G02405.1	754.00	13.00	1.62
AT1G02410	AT1G02410.1,AT1G02410.2,AT1G02410.3	1278.00	184.00	13.27
AT1G02420	AT1G02420.1	1520.00	32.00	1.93
AT1G02430	AT1G02430.1,AT1G02430.2	968.00	30.28	2.91
AT1G02440	AT1G02440.1,AT1G02440.2	649.00	2.72	0.40
AT1G02450	AT1G02450.1	623.00	22.98	3.51
AT1G02460	AT1G02460.1	2079.00	9.00	0.39
AT1G02470	AT1G02470.1,AT1G02470.2	822.73	84.97	9.68
AT1G02475	AT1G02475.1	1091.00	798.00	67.75
AT1G02490	AT1G02490.1	298.00	3.00	1.03
AT1G02500	AT1G02500.1,AT1G02500.2	1552.25	6591.02	389.28
AT1G02510	AT1G02510.1	1086.00	1.00	0.09
AT1G02520	AT1G02520.1,AT1G02520.2,AT1G02520.3	4052.00	6.71	0.15
AT1G02530	AT1G02530.1,AT1G02530.2	4221.00	5.29	0.11
AT1G02540	AT1G02540.1	873.00	1.00	0.11
AT1G02560	AT1G02560.1	1479.00	4198.00	260.53
AT1G02575	AT1G02575.1	1047.00	1.00	0.09
AT1G02580	AT1G02580.1,AT1G02580.2	2341.00	1.00	0.04
AT1G02610	AT1G02610.1,AT1G02610.2,AT1G02610.3	1027.06	249.00	22.50
AT1G02620	AT1G02620.1	1383.00	24.00	1.60
AT1G02630	AT1G02630.1,AT1G02630.2	1735.71	13.00	0.68
AT1G02640	AT1G02640.1	2773.00	210.00	6.87
AT1G02650	AT1G02650.1,AT1G02650.2	1824.00	14.99	0.75
AT1G02660	AT1G02660.1	2842.00	390.00	12.44
AT1G02670	AT1G02670.1,AT1G02670.2,AT1G02670.3,AT1G02670.4,AT1G02670.5,AT1G02670.6,AT1G02670.7	2317.61	18.00	0.71
AT1G02680	AT1G02680.1	907.00	175.00	18.00
AT1G02690	AT1G02690.1,AT1G02690.2	2011.38	83.00	3.76
AT1G02700	AT1G02700.1	1356.00	14.00	0.95
AT1G02705	AT1G02705.1	426.00	48.00	11.03
AT1G02710	AT1G02710.1	291.00	12.00	4.22
AT1G02720	AT1G02720.1,AT1G02720.2	1953.91	129.22	6.03
AT1G02730	AT1G02730.1	3925.00	432.00	9.95
AT1G02740	AT1G02740.1	1566.00	69.00	4.04
AT1G02750	AT1G02750.1,AT1G02750.2	1103.00	128.00	10.74
AT1G02770	AT1G02770.1	1233.00	7.00	0.52
AT1G02780	AT1G02780.1	1109.00	4488.00	374.62
AT1G02800	AT1G02800.1	1823.00	95.00	4.76
AT1G02810	AT1G02810.1	2132.00	5.00	0.21
AT1G02813	AT1G02813.1	652.00	18.00	2.62
AT1G02816	AT1G02816.1	1602.00	118.00	6.75
AT1G02820	AT1G02820.1	816.00	4.00	0.46
AT1G02840	AT1G02840.1,AT1G02840.2,AT1G02840.3,AT1G02840.4,AT1G02840.5	1507.86	1081.00	65.77
AT1G02850	AT1G02850.1,AT1G02850.2,AT1G02850.3,AT1G02850.4,AT1G02850.5	1876.42	462.00	22.48
AT1G02860	AT1G02860.1,AT1G02860.2,AT1G02860.3	1517.00	105.00	6.35
AT1G02870	AT1G02870.1	847.00	259.00	28.61
